date,aircraft_official,helicopter_official,tank_official,APC_official,field_artillery_official,MRL_official,military_auto_official,fuel_tank_official,drone_official,naval_ship_official,anti_aircraft_warfare_official,special_equipment_official,mobile_SRBM_system_official,vehicles_and_fuel_tanks_official,cruise_missiles_official,submarines_official,ground_robotic_systems_official,APC_ws,MRL_ws,aircraft_ws,anti_aircraft_warfare_ws,drone_ws,field_artillery_ws,helicopter_ws,naval_ship_ws,tank_ws
2022-05-19,1.0,0.0,3.0,20.0,9.0,0.0,100.0,60.0,14.0,0.0,2.0,0.0,0.0,20.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2022-05-20,1.0,1.0,9.0,27.0,1.0,1.0,100.0,60.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
2022-05-21,0.0,1.0,15.0,26.0,0.0,1.0,100.0,60.0,2.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0
2022-05-22,0.0,1.0,7.0,25.0,3.0,0.0,100.0,60.0,8.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,0.0,0.0,8.0,25.0,5.0,0.0,100.0,60.0,6.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2022-05-24,1.0,0.0,9.0,28.0,2.0,0.0,100.0,60.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
2022-05-25,1.0,0.0,3.0,19.0,0.0,0.0,100.0,60.0,11.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2022-05-26,0.0,0.0,10.0,22.0,11.0,0.0,100.0,60.0,11.0,0.0,0.0,3.0,0.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2022-05-27,0.0,0.0,7.0,11.0,6.0,0.0,100.0,60.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-28,1.0,4.0,8.0,12.0,5.0,2.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2022-05-29,0.0,0.0,8.0,12.0,3.0,0.0,100.0,60.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2022-05-30,0.0,0.0,11.0,12.0,12.0,2.0,100.0,60.0,3.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
2022-05-31,1.0,0.0,9.0,20.0,6.0,2.0,100.0,60.0,8.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,21.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,7.0
